reading_id,waterpoint_id,habitation,flow_ok,usage_count,recorded_at,status_label
1,WP001,Kollampalayam,0,0,2026-07-20 06:00:00,down
2,WP001,Kollampalayam,0,0,2026-07-20 06:15:00,down
3,WP001,Kollampalayam,0,0,2026-07-20 06:30:00,down
4,WP001,Kollampalayam,0,0,2026-07-20 06:45:00,down
5,WP001,Kollampalayam,0,0,2026-07-20 07:00:00,down
6,WP001,Kollampalayam,0,0,2026-07-20 07:15:00,down
7,WP001,Kollampalayam,0,0,2026-07-20 07:30:00,down
8,WP001,Kollampalayam,0,0,2026-07-20 07:45:00,down
9,WP001,Kollampalayam,0,0,2026-07-20 08:00:00,down
10,WP001,Kollampalayam,0,0,2026-07-20 08:15:00,down
11,WP002,Kollampalayam,1,11,2026-07-20 06:00:00,working
12,WP002,Kollampalayam,1,10,2026-07-20 06:15:00,working
13,WP002,Kollampalayam,1,10,2026-07-20 06:30:00,working
14,WP002,Kollampalayam,1,7,2026-07-20 06:45:00,working
15,WP002,Kollampalayam,1,6,2026-07-20 07:00:00,working
16,WP002,Kollampalayam,1,20,2026-07-20 07:15:00,working
17,WP002,Kollampalayam,1,5,2026-07-20 07:30:00,working
18,WP002,Kollampalayam,1,16,2026-07-20 07:45:00,working
19,WP002,Kollampalayam,1,4,2026-07-20 08:00:00,working
20,WP002,Kollampalayam,1,3,2026-07-20 08:15:00,working
21,WP003,Sundapatti,1,10,2026-07-20 06:00:00,working
22,WP003,Sundapatti,1,19,2026-07-20 06:15:00,working
23,WP003,Sundapatti,1,3,2026-07-20 06:30:00,working
24,WP003,Sundapatti,1,20,2026-07-20 06:45:00,working
25,WP003,Sundapatti,1,9,2026-07-20 07:00:00,working
26,WP003,Sundapatti,1,20,2026-07-20 07:15:00,working
27,WP003,Sundapatti,1,16,2026-07-20 07:30:00,working
28,WP003,Sundapatti,1,10,2026-07-20 07:45:00,working
29,WP003,Sundapatti,1,17,2026-07-20 08:00:00,working
30,WP003,Sundapatti,1,11,2026-07-20 08:15:00,working
31,WP004,Sundapatti,0,0,2026-07-20 06:00:00,down
32,WP004,Sundapatti,0,0,2026-07-20 06:15:00,down
33,WP004,Sundapatti,1,5,2026-07-20 06:30:00,working
34,WP004,Sundapatti,1,2,2026-07-20 06:45:00,working
35,WP004,Sundapatti,0,0,2026-07-20 07:00:00,down
36,WP004,Sundapatti,1,1,2026-07-20 07:15:00,working
37,WP004,Sundapatti,1,7,2026-07-20 07:30:00,working
38,WP004,Sundapatti,1,7,2026-07-20 07:45:00,working
39,WP004,Sundapatti,1,7,2026-07-20 08:00:00,working
40,WP004,Sundapatti,1,7,2026-07-20 08:15:00,working
41,WP005,Sundapatti,1,17,2026-07-20 06:00:00,working
42,WP005,Sundapatti,1,20,2026-07-20 06:15:00,working
